CustomerID,SSN,FirstName,LastName,Email,Phone,Gender,Address,City,Country,DateOfBirth,SocialMediaHandles,LoyaltyProgramID,PreferredLanguage,ConsentStatus,AccountCreationDate,LastLoginDate,ProfilePictureURL,Occupation,Company,Interests,PurchasePreferences,CommunicationPreferences
NDO9QTW0CHMA,773-90-0447,Michael,Perry,zachary00@example.com,773-575-2281x9062,Female,"428 Patricia Trafficway, Michaelview, DC 55182",Taylorstad,USA,14-10-1985,ysanchez,943B969668C8,Spanish,Not Consented,25-07-2022,28-05-2024,https://dummyimage.com/194x769,Wellsite geologist,"Hunt, Simpson and Thomas","ahead, wrong, particularly","inside, weight, front",phone
DCX5ZFA3SZER,791-61-9642,Adam,Morgan,deborah20@example.com,+1-907-412-2138x43708,Female,"7918 Rivera Hills Suite 199, East Ashley, AZ 19186",South Elizabethton,USA,14-02-1959,martinezjohn,D2833EE1ACD1,French,Consented,13-08-2024,23-06-2024,https://picsum.photos/121/189,Medical laboratory scientific officer,"Gallagher, Russo and Hudson","social, clearly, you","total, evening, another","email, sms, social media"
IRB0ILP5TBPU,695-83-6930,Amy,Johnson,dustin34@example.net,372.310.6621x913,Female,"393 Ryan Rapid, South Fredbury, RI 83261",Jennifermouth,USA,02-02-1950,calvin98,A2CFC9E8477D,French,Consented,03-04-2020,20-04-2024,https://placekitten.com/6/985,Passenger transport manager,Brown Ltd,"pretty, into, member","gas, occur, against","phone, email"
ZSD1JRH4GMTC,402-23-9299,Caroline,Moreno,christopher33@example.org,556.233.4052x60870,Female,"093 Anthony Unions Apt. 905, Sparksborough, UT 66386",Kellyhaven,USA,05-02-1924,jmoore,BEA6F3471F20,French,Consented,17-04-2023,31-03-2024,https://dummyimage.com/705x531,Art gallery manager,Wallace Group,"describe, apply, keep","large, story, game",sms
DYM4HMF8PHPF,334-85-0854,Stacey,Allen,stephaniebennett@example.com,-11340,Other,"429 Harris Drive, Georgeland, WY 97421",New Anthonyside,USA,31-10-1986,craigmiller,E7C1AF76FD17,English,Consented,12-05-2023,23-07-2024,https://placekitten.com/464/837,Clinical molecular geneticist,"Hartman, Taylor and Richardson","stuff, edge, among","stuff, every, sport","sms, phone"
LMC9WFI6SQWW,377-96-5327,Deborah,Francis,crosbyamanda@example.com,001-748-620-2687x4906,Male,"PSC 4359, Box 5209, APO AE 38026",Lunafort,USA,25-08-1984,leroyjohnson,337BB6052508,English,Not Consented,02-11-2022,13-03-2024,https://picsum.photos/728/688,Environmental health practitioner,"Figueroa, Morris and Carter","training, remember, factor","perform, alone, his","phone, email"
XKD6NYR3HEZO,415-71-7928,Vanessa,Pugh,joseph85@example.com,-5750,Male,"1227 Hall Trafficway, Josephshire, UT 27732",Tammieberg,USA,09-12-1982,scottaguirre,BD0F02F2F02F,English,Consented,10-04-2023,05-07-2024,https://dummyimage.com/998x794,Theatre director,"Conley, Williams and Turner","against, same, message","best, entire, seven","phone, email"
TXL8MME4OEHH,456-45-8216,Aaron,Thompson,sharpchristine@example.org,+1-428-411-0531x169,Other,"855 Delgado Bridge, Lake Jared, NV 99036",Brookefurt,USA,09-03-1931,hcameron,AE2DC9B9AEC9,English,Consented,22-07-2023,23-03-2024,https://dummyimage.com/186x985,Ceramics designer,Guzman-Smith,"item, rise, build","mention, than, own",phone
PZE2ITW4MOJU,205-02-4636,Maria,Merritt,ksmith@example.net,241-754-7145x503,Female,"993 Steven Gateway, Lake Rodney, NH 34830",West Williamtown,USA,02-06-1937,krystal70,860668F0CBD1,French,Not Consented,27-07-2024,05-05-2024,https://placekitten.com/435/407,"Teacher, English as a foreign language",Jacobs-Brown,"wonder, this, source","behavior, scientist, your","social media, sms"
WLG6WFZ8TBGE,860-66-0818,Harry,Martin,ashaw@example.net,5413606779,Other,"2466 Timothy Cove Apt. 552, Joshuahaven, WV 57006",Meyerstad,USA,18-03-2016,ibailey,922AA1B3AD47,French,Not Consented,03-05-2024,22-08-2024,https://picsum.photos/18/309,Garment/textile technologist,Bryant-Adkins,"official, hotel, white","network, appear, leader","phone, sms"
OLA3NXW5FVEL,137-01-8049,Brenda,Garza,rebecca24@example.org,543.635.2037,Female,"644 Michelle Camp, North Jonborough, MD 74328",Alexandraview,USA,05-11-1974,andersonmichael,F27954CE8E4E,English,Consented,04-08-2023,06-02-2024,https://picsum.photos/299/575,Actor,Lopez and Sons,"eight, player, record","seat, accept, story","social media, phone, email"
ALT7DCD7LSYR,555-31-6851,Emily,Ford,bill39@example.com,937.216.3585x7230,Female,"6433 Castro Via Suite 901, Tarachester, TN 34195",Christineton,USA,09-09-1972,esmith,FD49F2632C96,English,Consented,14-08-2023,12-08-2024,https://dummyimage.com/30x71,Travel agency manager,"Martinez, Roberts and Payne","good, ago, ahead","stay, newspaper, region","social media, sms, phone"
ZGD7ATP7IHRB,096-95-4858,Carla,Holmes,mortonbrian@example.com,767.968.9146,Female,"32371 Davis Via Suite 609, New Maryberg, DC 58625",Brianberg,USA,06-05-1987,xmorse,34758D432A34,English,Not Consented,29-03-2021,22-06-2024,https://picsum.photos/8/771,"Conservation officer, historic buildings",Hoffman PLC,"gun, model, open","hard, pull, series","phone, sms"
ENB0NUI4LZYA,668-91-7824,Stacey,Sullivan,lindabanks@example.org,493.706.3865x42307,Male,"280 Delgado Ways, Port Sharonfort, MP 52853",New Russell,USA,03-08-1972,chasefoster,1E9EF67AE757,French,Consented,03-06-2023,19-04-2024,https://picsum.photos/119/815,Professor Emeritus,"Salazar, Boyd and Smith","program, travel, job","national, suddenly, reveal","phone, email"
DNJ7VVG6VJAX,282-43-4263,Jasmine,Reed,matthew91@example.com,898.380.8148,Other,"6628 Christopher Ports Suite 660, Christensenborough, DE 50641",Lake Matthew,USA,05-06-1937,ymartin,D23334220A54,English,Not Consented,21-09-2023,31-01-2024,https://picsum.photos/335/367,Comptroller,Smith PLC,"seek, civil, suggest","color, standard, forget","phone, social media"
ITB2BHQ3KKBL,486-69-7662,Phillip,Cortez,davidjohnson@example.net,(477)400-1582x49071,Male,"4300 Austin Rest Suite 083, Mollyview, CT 82081",Harrischester,USA,17-12-2011,jacob28,4E219340E50F,French,Consented,11-10-2022,22-02-2024,https://picsum.photos/979/875,Architect,Green-Beck,"box, institution, notice","worry, sense, travel",sms
PKB5SBD3AKHF,578-61-6719,Renee,Johnson,allenjustin@example.org,+1-278-858-3702x0227,Female,"561 Fox Summit Apt. 791, Brittneyshire, AL 87700",West Catherine,USA,12-12-1998,ericriley,38876AF3D90F,French,Not Consented,13-01-2020,22-02-2024,https://placekitten.com/913/44,Insurance account manager,Berry LLC,"yard, realize, be","little, throw, pick",social media
IMY0PAD4KESC,592-94-7863,Randy,Crane,jennifer43@example.org,001-232-405-4935x993,Male,"3693 Becker Coves Suite 529, Hernandezmouth, MH 49951",North Scott,USA,18-02-1916,paulpineda,FEF7E702BEF7,English,Consented,15-11-2021,23-03-2024,https://picsum.photos/352/947,Solicitor,Parrish Group,"citizen, final, young","least, baby, ago","email, social media"
UIE5JAY2AXAE,062-99-2401,Ronald,Bell,robert53@example.org,001-947-802-0532x83597,Male,"8472 Cassandra Cliff Apt. 438, Port Sarah, MP 15676",South Samanthachester,USA,24-09-2007,kyle48,355A02FCF64B,Spanish,Not Consented,14-08-2021,02-04-2024,https://placekitten.com/184/905,"Engineer, electronics",Reyes Group,"sea, son, ten","list, only, enough","sms, social media, email"
LXY0ZNW0TDBH,033-67-6025,April,Gutierrez,ericevans@example.com,-9437,Other,"8569 Bishop Harbors Suite 714, Tylerville, RI 86098",Andreafort,USA,04-03-1985,terri15,8B02D26C2F34,Spanish,Not Consented,13-02-2023,16-02-2024,https://placekitten.com/452/191,Rural practice surveyor,Rose Group,"my, rate, American","father, only, spring","email, sms, phone"
TGQ2IIA9CNRT,722-18-9980,Kathleen,Mendez,anna27@example.org,600.288.0409,Female,"3951 Williams Stream Apt. 066, Port Michelle, MO 80327",Aliciafurt,USA,31-12-1957,arnoldjackson,BEF8613ACFAE,English,Not Consented,06-08-2021,08-04-2024,https://picsum.photos/453/357,Quantity surveyor,"Hart, Wiley and Pineda","according, class, practice","race, fine, red","social media, phone"
GIA6PIT7FFWX,532-45-6761,Joshua,Reyes,bchavez@example.com,+1-655-892-0600x03135,Other,"46480 Anderson Inlet, North Vincent, DC 14458",Melindaport,USA,21-07-2012,lisahawkins,BE24480D2F79,Spanish,Not Consented,27-12-2023,22-06-2024,https://dummyimage.com/434x489,Market researcher,Bell-Hall,"away, foot, pull","every, store, like","social media, sms, phone"
DKR8SCT3SMVY,492-02-9440,Robert,Schroeder,sanchezmarie@example.org,816.808.0294,Female,"88117 Ryan Street Apt. 976, Port Katherineside, FL 91545",Rebeccachester,USA,17-08-1930,taylorscott,213024CBFD77,French,Not Consented,08-01-2021,02-07-2024,https://placekitten.com/852/935,English as a second language teacher,"Mendoza, Chavez and Freeman","bag, job, concern","certain, people, bit","phone, sms, social media"
NFW7OWR3MRST,841-10-4676,Nicole,Walker,richardwalker@example.net,(489)462-9271,Male,"9229 Lori Shore, West Gregoryborough, IL 63005",Port Tina,USA,08-07-1944,valvarez,A32F36919716,English,Consented,17-07-2020,16-01-2024,https://placekitten.com/105/558,Musician,"Brown, Hamilton and Haas","stock, although, system","director, right, message",email
SNF5AIZ2YJGK,423-09-0292,Phillip,Gray,hammondmichael@example.net,(886)981-3417,Male,"830 Kramer Stravenue Suite 912, Kimberlyport, MH 33505",New Courtney,USA,10-05-1969,hunter35,2053FDD18A3B,Spanish,Consented,09-04-2020,21-07-2024,https://placekitten.com/776/93,Administrator,"Mcgee, Ramirez and Reynolds","last, interest, affect","third, customer, expect",email
BON4MMQ4XKNW,525-44-6820,Kimberly,Smith,haleyhill@example.net,278-617-8922x6719,Other,"533 Shannon Wells Apt. 021, Tamaramouth, NV 66909",Port Megan,USA,08-01-1921,gutierrezeric,FB3823A45097,French,Not Consented,31-12-2020,12-01-2024,https://dummyimage.com/225x180,Primary school teacher,"Smith, Henderson and Miller","brother, hit, forward","into, word, fish","sms, email"
XTR9IPP6RFGQ,036-67-9036,Joanna,Bowman,ushah@example.org,-2779,Male,"680 Jason Ranch Suite 251, Port Wayne, ID 98045",North Andrealand,USA,26-09-1939,greenekaren,2DAD3BE41E06,French,Consented,09-02-2023,01-02-2024,https://picsum.photos/233/703,"Copywriter, advertising",Hopkins Ltd,"week, decision, growth","full, whether, film",email
UMT7MMI0PHGS,222-91-6890,Justin,Moore,daniel05@example.org,+1-933-604-7915x14229,Female,"04539 Diane Bridge, North Samantha, MI 80534",North Andrewberg,USA,13-09-1977,timothyburnett,2FA92C72EB3F,English,Not Consented,03-05-2023,24-02-2024,https://picsum.photos/346/574,Special effects artist,"Anderson, Gibson and Good","pay, book, job","sister, least, sell",email
JPH7PMO2YTHR,379-36-8497,Jessica,Huff,robert62@example.net,(865)409-2440,Female,"197 Romero Brooks, Riverabury, DE 91188",West Timothy,USA,29-01-1941,zmason,9E0C0F777BBB,French,Consented,13-06-2022,21-03-2024,https://placekitten.com/701/7,"Engineer, water","Zuniga, Lewis and Taylor","fund, just, heart","century, benefit, cause",email
